ciudad;depto;tamano;sector;seccion_sector;pa;numero_empleados;pb1;pb2;pb3;pb4;pb5;pb6;pb7;seleccion_por___contratados;pd1;pd2;p1;p1a;p2;p2a;p3;p3a;p4;p4a;p5;p5a;p6;p6a;p7;p7a;p8;p8a;p9;p9a;p10;p10a;p11;p11a;p12;p12a;p13;p13a;p14;p14a;p15;p15a;p16;p16a;p17;p17a;p18;p18a;p19;p19a;p20;p20a;p21a;p21b;p21c;p21d;p21e;factor
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;FABRICACION MUEBLES DE HOGAR;Mas de 200 Empleados;1;2;3;4;5;6;;Tecnicos o Tecnologos;15;30;4;2;4;3;4;3;4;3;4;4;4;3;3;3;4;2;4;3;4;2;4;3;4;3;4;3;4;3;4;3;4;3;4;2;4;3;4;3;4;3;2;4;3;5;1;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;FABRICAION DE CERRADURAS;Mas de 200 Empleados;1;6;;;;;;Universitarios;5;0;4;3;4;3;4;3;2;2;4;3;4;3;3;3;3;3;3;3;3;3;4;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;2;5;1;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;EDICION DE PREGRAMAS DE INGLES;Mas de 200 Empleados;1;4;5;6;;;;Tecnicos o Tecnologos;60;100;4;4;4;4;4;4;4;3;4;4;4;4;4;4;2;4;4;4;3;3;4;3;4;3;3;4;4;3;4;3;4;4;4;3;4;3;4;3;4;3;5;2;1;4;3;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;FABRICANTE DE ACSESORIOS PLAST;Entre 51 y 200 Empleados;2;4;;;;;;Tecnicos o Tecnologos;0;2;3;3;3;3;3;3;1;1;4;3;3;3;4;3;4;3;4;3;3;4;3;3;3;3;3;3;3;3;4;3;4;3;4;3;4;4;4;3;3;3;3;2;4;5;1;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;IMPRESION DE TEXTOS;Entre 51 y 200 Empleados;5;6;2;;;;;Tecnicos o Tecnologos;1;4;4;4;4;3;4;3;4;2;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;5;3;1;2;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;FABRICACION PELICULA POLIETILE;Entre 11 y 50 Empleados;6;;;;;;;Universitarios;1;0;4;3;4;3;4;3;3;2;4;4;4;4;4;3;4;3;4;4;4;4;4;3;4;2;3;3;3;3;3;3;4;3;4;4;4;4;4;3;4;3;1;2;3;5;4;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;ARTES GRAFICAS;Entre 51 y 200 Empleados;7;;;;;;;Universitarios;4;0;4;4;4;3;4;4;4;2;4;4;4;4;3;3;4;3;4;4;4;4;3;3;3;3;4;3;4;3;4;3;3;3;3;4;4;4;4;4;3;3;2;3;5;4;1;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;FABRICACION DE BLOQUES;Entre 51 y 200 Empleados;1;5;6;;;;;Universitarios;5;3;3;2;4;3;4;3;1;1;4;3;3;2;4;3;4;4;4;3;4;3;3;3;3;3;3;2;3;3;4;2;3;2;4;2;2;2;2;2;3;4;3;1;2;4;5;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;ELABORACION DE MOLINERIA PRODU;Entre 11 y 50 Empleados;4;;;;;;;Universitarios;1;0;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;3;2;5;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;TEXTIL;Mas de 200 Empleados;1;6;;;;;;Tecnicos o Tecnologos;1;10;3;3;3;4;3;4;2;3;4;2;2;4;4;4;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;5;4;1;7,61
BOGOTA;CUNDINAMARCA;GRANDE;INDUSTRIA;D;METALMECANICA;Entre 51 y 200 Empleados;2;4;5;;;;;Universitarios;4;3;3;3;3;3;3;3;2;2;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;3;4;3;4;3;3;3;4;2;3;1;4;5;7,61
